date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:58:58	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%225ba6707e-bb43%22	https://colorlib.com/preview/theme/dentacare/images/person_2.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/person_2.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:58:59	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%225ba6707e-8918%22	https://colorlib.com/preview/theme/dentacare/images/person_3.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/person_3.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:00	28730/28730	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Oct%202019%2003:59:01%20GMT	https://colorlib.com/preview/theme/dentacare/gallery.html	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/gallery.html	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:00	96828/96828	---M--	200	added ('OK')	image/jpeg	etag:%225ba6706f-17a3c%22	https://colorlib.com/preview/theme/dentacare/images/gallery-1.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/gallery-1.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:01	28480/28480	---M--	200	added ('OK')	image/jpeg	etag:%225ba6706f-6f40%22	https://colorlib.com/preview/theme/dentacare/images/gallery-2.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/gallery-2.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:01	113400/113400	---M--	200	added ('OK')	image/jpeg	etag:%225ba67071-1baf8%22	https://colorlib.com/preview/theme/dentacare/images/gallery-3.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/gallery-3.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:02	58431/58431	---M--	200	added ('OK')	image/jpeg	etag:%225ba67073-e43f%22	https://colorlib.com/preview/theme/dentacare/images/gallery-4.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/gallery-4.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:02	20458/20458	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2016:39:22%20GMT	https://colorlib.com/preview/theme/dentacare/blog-single.html	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/blog-single.html	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:02	64652/64652	---M--	200	added ('OK')	image/jpeg	etag:%225ba67075-fc8c%22	https://colorlib.com/preview/theme/dentacare/images/image_1.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/image_1.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:03	78668/78668	---M--	200	added ('OK')	image/jpeg	etag:%225ba67078-1334c%22	https://colorlib.com/preview/theme/dentacare/images/image_2.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/image_2.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:04	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db8506d-4d7%22	https://colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	E:/fpoly/theme2/colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:04	58431/58431	---M--	200	added ('OK')	image/jpeg	etag:%225ba67077-e43f%22	https://colorlib.com/preview/theme/dentacare/images/image_3.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/image_3.jpg	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:04	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba67097-41706%22	https://colorlib.com/preview/theme/dentacare/js/jquery.min.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/jquery.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:04	11421/11421	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba67091-2c9d%22	https://colorlib.com/preview/theme/dentacare/js/jquery-migrate-3.0.1.min.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/jquery-migrate-3.0.1.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:05	19032/19032	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba6709b-4a58%22	https://colorlib.com/preview/theme/dentacare/js/popper.min.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/popper.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:05	50676/50676	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba6708f-c5f4%22	https://colorlib.com/preview/theme/dentacare/js/bootstrap.min.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/bootstrap.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:05	8111/8111	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba67092-1faf%22	https://colorlib.com/preview/theme/dentacare/js/jquery.easing.1.3.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/jquery.easing.1.3.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:06	8835/8835	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba67099-2283%22	https://colorlib.com/preview/theme/dentacare/js/jquery.waypoints.min.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/jquery.waypoints.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:06	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba67098-3135%22	https://colorlib.com/preview/theme/dentacare/js/jquery.stellar.min.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/jquery.stellar.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:06	43237/43237	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba6709b-a8e5%22	https://colorlib.com/preview/theme/dentacare/js/owl.carousel.min.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/owl.carousel.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:07	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba67094-4ef8%22	https://colorlib.com/preview/theme/dentacare/js/jquery.magnific-popup.min.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/jquery.magnific-popup.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:07	14244/14244	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba6708b-37a4%22	https://colorlib.com/preview/theme/dentacare/js/aos.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/aos.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:07	1391/1391	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba67092-56f%22	https://colorlib.com/preview/theme/dentacare/js/jquery.animateNumber.min.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/jquery.animateNumber.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:08	46820/46820	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba6708c-b6e4%22	https://colorlib.com/preview/theme/dentacare/js/bootstrap-datepicker.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/bootstrap-datepicker.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:08	15764/15764	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba67099-3d94%22	https://colorlib.com/preview/theme/dentacare/js/jquery.timepicker.min.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/jquery.timepicker.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:09	7447/7447	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba6709d-1d17%22	https://colorlib.com/preview/theme/dentacare/js/scrollax.min.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/scrollax.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:09	1946/1946	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba6708d-79a%22	https://colorlib.com/preview/theme/dentacare/js/google-map.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/google-map.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:09	6179/6179	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba6709a-1823%22	https://colorlib.com/preview/theme/dentacare/js/main.js	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/js/main.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:10	12213/12213	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db8506d-2fb5%22	https://ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js	E:/fpoly/theme2/ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js	(from https://colorlib.com/preview/theme/dentacare/index.html)
10:59:10	28196/28196	---M--	200	added ('OK')	application/octet-stream	etag:%225ba670d9-6e24%22	https://colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconic.eot	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconic.eot	(from https://colorlib.com/preview/theme/dentacare/css/open-iconic-bootstrap.min.css)
10:59:10	28196/28196	---M--	200	added ('OK')	application/octet-stream	etag:%225ba670d9-6e24%22	https://colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconic.eot?	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconicd41d.eot	(from https://colorlib.com/preview/theme/dentacare/css/open-iconic-bootstrap.min.css)
10:59:11	14984/14984	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225ba670dc-3a88%22	https://colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconic.woff	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconic.woff	(from https://colorlib.com/preview/theme/dentacare/css/open-iconic-bootstrap.min.css)
10:59:12	28028/28028	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225ba670db-6d7c%22	https://colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconic.ttf	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconic.ttf	(from https://colorlib.com/preview/theme/dentacare/css/open-iconic-bootstrap.min.css)
10:59:12	20996/20996	---MCZ	200	added ('OK')	font/opentype	etag:W/%225ba670d9-5204%22	https://colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconic.otf	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconic.otf	(from https://colorlib.com/preview/theme/dentacare/css/open-iconic-bootstrap.min.css)
10:59:13	54789/54789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ba670db-d605%22	https://colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconic.svg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/open-iconic/open-iconic.svg	(from https://colorlib.com/preview/theme/dentacare/css/open-iconic-bootstrap.min.css)
10:59:13	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Oct%202019%2003:59:15%20GMT	https://colorlib.com/preview/theme/dentacare/css/owl.video.play.png	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/css/owl.video.play.png	(from https://colorlib.com/preview/theme/dentacare/css/owl.carousel.min.css)
10:59:14	112826/112826	---M--	200	added ('OK')	application/octet-stream	etag:%225ba67122-1b8ba%22	https://colorlib.com/preview/theme/dentacare/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/ionicons/fonts/ionicons580c.eot	(from https://colorlib.com/preview/theme/dentacare/css/ionicons.min.css)
10:59:14	50592/50592	---M--	200	added ('OK')	application/font-woff2	etag:%225ba67129-c5a0%22	https://colorlib.com/preview/theme/dentacare/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/ionicons/fonts/ionicons580c.woff2	(from https://colorlib.com/preview/theme/dentacare/css/ionicons.min.css)
10:59:15	66024/66024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225ba67127-101e8%22	https://colorlib.com/preview/theme/dentacare/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/ionicons/fonts/ionicons580c.woff	(from https://colorlib.com/preview/theme/dentacare/css/ionicons.min.css)
10:59:16	112648/112648	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225ba67125-1b808%22	https://colorlib.com/preview/theme/dentacare/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/ionicons/fonts/ionicons580c.ttf	(from https://colorlib.com/preview/theme/dentacare/css/ionicons.min.css)
10:59:16	313199/313199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ba67128-4c76f%22	https://colorlib.com/preview/theme/dentacare/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/ionicons/fonts/ionicons580c.svg	(from https://colorlib.com/preview/theme/dentacare/css/ionicons.min.css)
10:59:16	6178/6178	---M--	200	added ('OK')	application/octet-stream	etag:%225ba670fe-1822%22	https://colorlib.com/preview/theme/dentacare/fonts/flaticon/font/Flaticon.eot	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/flaticon/font/Flaticon.eot	(from https://colorlib.com/preview/theme/dentacare/css/flaticon.css)
10:59:17	6178/6178	---M--	200	added ('OK')	application/octet-stream	etag:%225ba670fe-1822%22	https://colorlib.com/preview/theme/dentacare/fonts/flaticon/font/Flaticon.eot?	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/flaticon/font/Flaticond41d.eot	(from https://colorlib.com/preview/theme/dentacare/css/flaticon.css)
10:59:17	4248/4248	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225ba67105-1098%22	https://colorlib.com/preview/theme/dentacare/fonts/flaticon/font/Flaticon.woff	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/flaticon/font/Flaticon.woff	(from https://colorlib.com/preview/theme/dentacare/css/flaticon.css)
10:59:17	6000/6000	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225ba67102-1770%22	https://colorlib.com/preview/theme/dentacare/fonts/flaticon/font/Flaticon.ttf	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/flaticon/font/Flaticon.ttf	(from https://colorlib.com/preview/theme/dentacare/css/flaticon.css)
10:59:18	31856/31856	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ba67103-7c70%22	https://colorlib.com/preview/theme/dentacare/fonts/flaticon/font/Flaticon.svg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/flaticon/font/Flaticon.svg	(from https://colorlib.com/preview/theme/dentacare/css/flaticon.css)
10:59:18	307332/307332	---M--	200	added ('OK')	application/octet-stream	etag:%225ba670d7-4b084%22	https://colorlib.com/preview/theme/dentacare/fonts/icomoon/icomoon.eot?6tt51o	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/icomoon/icomoonccfb.eot	(from https://colorlib.com/preview/theme/dentacare/css/icomoon.css)
10:59:19	307168/307168	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225ba670ce-4afe0%22	https://colorlib.com/preview/theme/dentacare/fonts/icomoon/icomoon.ttf?6tt51o	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/icomoon/icomoonccfb.ttf	(from https://colorlib.com/preview/theme/dentacare/css/icomoon.css)
10:59:19	307244/307244	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225ba670d3-4b02c%22	https://colorlib.com/preview/theme/dentacare/fonts/icomoon/icomoon.woff?6tt51o	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/icomoon/icomoonccfb.woff	(from https://colorlib.com/preview/theme/dentacare/css/icomoon.css)
10:59:19	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ba670c8-e45ad%22	https://colorlib.com/preview/theme/dentacare/fonts/icomoon/icomoon.svg?6tt51o	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/fonts/icomoon/icomoonccfb.svg	(from https://colorlib.com/preview/theme/dentacare/css/icomoon.css)
10:59:20	337779/337779	---M--	200	added ('OK')	image/jpeg	etag:%225ba67069-52773%22	https://colorlib.com/preview/theme/dentacare/images/about.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/about.jpg	(from https://colorlib.com/preview/theme/dentacare/about.html)
10:59:20	25350/25350	---M--	200	added ('OK')	image/jpeg	etag:%225ba6707f-6306%22	https://colorlib.com/preview/theme/dentacare/images/person_4.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/person_4.jpg	(from https://colorlib.com/preview/theme/dentacare/doctors.html)
10:59:20	47354/47354	---M--	200	added ('OK')	image/jpeg	etag:%225ba67079-b8fa%22	https://colorlib.com/preview/theme/dentacare/images/image_4.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/image_4.jpg	(from https://colorlib.com/preview/theme/dentacare/blog.html)
10:59:21	62264/62264	---M--	200	added ('OK')	image/jpeg	etag:%225ba6707a-f338%22	https://colorlib.com/preview/theme/dentacare/images/image_5.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/image_5.jpg	(from https://colorlib.com/preview/theme/dentacare/blog.html)
10:59:21	28480/28480	---M--	200	added ('OK')	image/jpeg	etag:%225ba6707b-6f40%22	https://colorlib.com/preview/theme/dentacare/images/image_6.jpg	E:/fpoly/theme2/colorlib.com/preview/theme/dentacare/images/image_6.jpg	(from https://colorlib.com/preview/theme/dentacare/blog.html)
